#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
d	2	387	SAEpc22	Percent	0.01 %/bit	-321.27 to 321.28 %	-321.27 %	2 bytes	5/16/2013
d	3	404	SAEpc23	Percent	0.125 %/bit	-16 to 15.25 %	-16 %	1 byte	2/20/2014
d	4	449	SAEpc24	Percent	1/16 %/bit	-125 to 125.9375 %	-125 %	12 bits	5/31/2018
d	6	450	SAEpc25	Percent	1/256 %/bit	-125 to 125.99609375 %	-125	2 bytes	5/31/2018
#		154	SAEpd01	Proprietary Data	Manufacturer Determined	Manufacturer Determined	Manufacturer Determined	64 to 14,280 bits	11/8/2000
d	5	151	SAEpf01	Power Factor	1/16384 per bit	-1.00000 to 2.921814	-1	2 bytes	11/9/2000
int	u	116	SAEpg00	PGN	1 Binary	0 to 16,777,215	0	3 bytes	5/12/2011
d	2	236	SAEpp01	Parts Per Million	0.05 ppm/bit	-200 to 3012.75 ppm	-200 ppm	2 bytes	2/18/2004
int	d	296	SAEpp02	Parts Per Million	1 ppm/bit	-125 to 125 ppm	-125 ppm	1 byte	
d	1	348	SAEpp03	Parts Per Million	0.1 ppm/bit	-200 to 6225.5 ppm	-200 ppm	2 bytes	5/15/2011
d	2	349	SAEpp04	Parts Per Million	0.05 ppm/bit	-500 to 2712.75 ppm	-500 ppm	2 bytes	11/17/2011
d	2	52	SAEpr01	Pressure	1/128 kPa/bit	-250 to 251.99 kPa	-250 kPa	2 bytes	
d	2	48	SAEpr02	Pressure	0.05 kPa/bit	0 to 12.5 kPa	0	1 byte	
d	1	85	SAEpr03	Pressure	0.1 kPa/bit	0 to 6,425.5 kPa	0	2 bytes	
d	3	138	SAEpr04	Pressure	0.125 kPa/bit	0 to 8031.875 kPa	0	2 bytes	8/4/2016
d	1	54	SAEpr05	Pressure	0.5 kPa/bit	0 to 125 kPa	0	1 byte	
d	1	50	SAEpr06	Pressure	0.5 kPa/bit	0 to 32,127.5 kPa	0	2 bytes	
int	u	53	SAEpr07	Pressure	2 kPa/bit	0 to 500 kPa	0	1 byte	
int	u	106	SAEpr08	Pressure	2 kPa/bit	0 to 128,510 kPa	0	2 bytes	11/11/1999
d	7	51	SAEpr09	Pressure	0.00390625 MPa/bit	0 to 250.996 MPa	0	2 bytes	5/15/2011
int	u	47	SAEpr10	Pressure	4 kPa/bit	0 to 1000 kPa	0	1 byte	
int	u	1	SAEpr11	Pressure	5 kPa/bit	0 to 1,250 kPa	0	1 byte	
int	u	130	SAEpr12	Pressure	5 kPa/bit	0 to 321,275 kPa	0	2 bytes	8/10/2000
int	u	2	SAEpr13	Pressure	8 kPa/bit	0 to 2,000 kPa	0	1 byte	
int	u	49	SAEpr14	Pressure	16 kPa/bit	0 to 4000 kPa	0	1 byte	
int	u	161	SAEpr15	Pressure	100 kPa/bit	0 to 25000 kPa	0	1 byte	8/10/2014
int	u	229	SAEpr16	Pressure	50 kPa/bit	0 to 12,500 kPa	0	1 byte	11/18/2003
d	2	246	SAEpr17	Pressure	1.64 kPa/bit	-7 to 403 kPa	-7 kPa	1 byte	8/18/2004
d	1	355	SAEpr18	Pressure	0.1 kPa/bit	-3212.7 to 3212.8 kPa	-3212.7 kPa	2 bytes	5/16/2013
d	6	357	SAEpr19	Pressure	1/128 kPa/bit	0 to 501.9921875 kPa	0	2 bytes	8/9/2012
d	7	364	SAEpr20	Pressure	1/8192 MPa/bit	-1 to 6.84362793 MPa	-1 MPa	2 bytes	8/9/2012
d	7	367	SAEpr21	Pressure	1/1024 MPa/bit	0 to 62.74902344 MPa	0	2 bytes	8/9/2012
int	u	377	SAEpr22	Pressure	1 kPa/bit	0 to 64255 kPa	0	2 bytes	11/15/2012
int	d	386	SAEpr23	Pressure	10 kPa/bit	-40000 to 602550 kPa	-40000 kPa	2 bytes	5/16/2013
d	7	393	SAEpr24	Pressure	0.0035176 MPa/bit	-102.0104 to 124.012988 MPa	-102.0104 MPa	2 bytes	8/15/2013
d	7	431	SAEpr25	Pressure	0.0078125 kPa/bit	-100 to 401.99 kPa	-100 kPa	2 bytes	8/4/2016
d	1	162	SAEprc01	Pressure Rate Change	0.1 Pa/s per bit	0 to 6425.5 Pa/s	0	2 bytes	5/12/2011
int	u	411	SAEprc02	Pressure Rate Change	16 kPa/deg crank angle per bit	0 to 4000 kPa/deg crank angle	0	1 byte	8/7/2014
